,Unnamed: 0,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
87,7,23,59,.280,35.0,89.9,97.3,-6.74,2002,Memphis Grizzlies
89,9,61,21,.744,—,104.6,97.0,7.61,2002,Sacramento Kings
90,10,58,24,.707,3.0,101.3,94.1,7.15,2002,Los Angeles Lakers
91,11,49,33,.598,12.0,96.6,93.7,3.21,2002,Portland Trail Blazers
92,12,45,37,.549,16.0,97.7,94.7,3.24,2002,Seattle SuperSonics
93,13,39,43,.476,22.0,95.7,96.1,-0.09,2002,Los Angeles Clippers
94,14,36,46,.439,25.0,95.1,95.8,-0.30,2002,Phoenix Suns
95,15,21,61,.256,40.0,97.7,103.1,-4.80,2002,Golden State Warriors
96,0,49,33,.598,—,95.4,90.1,4.42,2003,New Jersey Nets
97,1,48,34,.585,1.0,96.8,94.5,1.76,2003,Philadelphia 76ers
98,2,44,38,.537,5.0,92.7,93.1,-0.75,2003,Boston Celtics
99,3,42,40,.512,7.0,98.5,98.4,-0.39,2003,Orlando Magic
100,4,37,45,.451,12.0,91.5,92.5,-1.47,2003,Washington Wizards
101,5,37,45,.451,12.0,95.9,97.2,-1.61,2003,New York Knicks
102,6,25,57,.305,24.0,85.6,90.6,-5.13,2003,Miami Heat
104,8,50,32,.610,—,91.4,87.7,2.97,2003,Detroit Pistons
105,9,48,34,.585,2.0,96.8,93.3,2.79,2003,Indiana Pacers
106,10,47,35,.573,3.0,93.9,91.8,1.52,2003,New Orleans Hornets
107,11,42,40,.512,8.0,99.5,99.3,-0.24,2003,Milwaukee Bucks
108,12,35,47,.427,15.0,94.1,97.6,-3.87,2003,Atlanta Hawks
109,13,30,52,.366,20.0,95.0,100.1,-5.31,2003,Chicago Bulls
110,14,24,58,.293,26.0,90.9,96.8,-6.10,2003,Toronto Raptors
111,15,17,65,.207,33.0,91.4,101.0,-9.59,2003,Cleveland Cavaliers
113,1,60,22,.732,—,95.8,90.4,5.65,2003,San Antonio Spurs
114,2,60,22,.732,—,103.0,95.2,7.90,2003,Dallas Mavericks
115,3,51,31,.622,9.0,98.1,96.0,2.46,2003,Minnesota Timberwolves
116,4,47,35,.573,13.0,94.7,92.3,2.76,2003,Utah Jazz
117,5,43,39,.524,17.0,93.8,92.3,1.89,2003,Houston Rockets
118,6,28,54,.341,32.0,97.5,100.7,-2.60,2003,Memphis Grizzlies
119,7,17,65,.207,43.0,84.2,92.4,-7.41,2003,Denver Nuggets
121,9,59,23,.720,—,101.7,95.2,6.68,2003,Sacramento Kings
122,10,50,32,.610,9.0,100.4,98.0,2.71,2003,Los Angeles Lakers
123,11,50,32,.610,9.0,95.2,92.5,2.97,2003,Portland Trail Blazers
124,12,44,38,.537,15.0,95.5,94.4,1.57,2003,Phoenix Suns
125,13,40,42,.488,19.0,92.1,92.3,0.37,2003,Seattle SuperSonics
126,14,38,44,.463,21.0,102.4,103.6,-0.60,2003,Golden State Warriors
127,15,27,55,.329,32.0,93.8,97.9,-3.45,2003,Los Angeles Clippers
128,0,47,35,.573,—,90.3,87.8,1.88,2004,New Jersey Nets
129,1,42,40,.512,5.0,90.3,89.7,-0.13,2004,Miami Heat
130,2,39,43,.476,8.0,92.0,93.5,-1.97,2004,New York Knicks
131,3,36,46,.439,11.0,95.3,96.7,-1.99,2004,Boston Celtics
132,4,33,49,.402,14.0,88.0,90.5,-2.95,2004,Philadelphia 76ers
133,5,25,57,.305,22.0,91.8,97.4,-6.12,2004,Washington Wizards
134,6,21,61,.256,26.0,94.0,101.1,-7.25,2004,Orlando Magic
136,8,61,21,.744,—,91.4,85.6,4.93,2004,Indiana Pacers
137,9,54,28,.659,7.0,90.1,84.3,5.04,2004,Detroit Pistons
138,10,41,41,.500,20.0,91.8,91.9,-0.72,2004,New Orleans Hornets
139,11,41,41,.500,20.0,98.0,97.0,0.42,2004,Milwaukee Bucks
140,12,35,47,.427,26.0,92.9,95.5,-3.07,2004,Cleveland Cavaliers
141,13,33,49,.402,28.0,85.4,88.5,-3.42,2004,Toronto Raptors
142,14,28,54,.341,33.0,92.8,97.5,-5.00,2004,Atlanta Hawks
143,15,23,59,.280,38.0,89.7,96.0,-6.69,2004,Chicago Bulls
145,1,58,24,.707,—,94.5,89.1,5.86,2004,Minnesota Timberwolves
146,2,57,25,.695,1.0,91.5,84.3,7.51,2004,San Antonio Spurs
